Darrelle Revis,Buccaneers,2013,6,"$96,000,000","$16,000,000"
Patrick Peterson,Cardinals,2014,5,"$70,050,000","$14,010,000"
Joe Haden,Browns,2014,5,"$67,500,000","$13,500,000"
Aqib Talib,LAR/DEN/MIA,2014,6,"$57,000,000","$9,500,000"
Chris Harris Jr.,Broncos,2014,5,"$42,500,000","$8,500,000"
Dominique Rodgers-Cromartie,Giants,2014,5,"$35,000,000","$7,000,000"
Darqueze Dennard,Bengals,2014,5,"$16,504,898","$3,300,980"
Jason Verrett,Chargers,2014,5,"$16,415,002","$3,283,000"
Jimmie Ward,49ers,2014,5,"$15,638,529","$3,127,706"
Bradley Roby,Broncos,2014,5,"$15,478,528","$3,095,706"
Orlando Scandrick,Cowboys,2014,5,"$15,000,000","$3,000,000"
Darrelle Revis,Jets,2015,5,"$70,121,060","$14,024,212"
Byron Maxwell,MIA/PHI,2015,6,"$63,000,000","$10,500,000"
Jimmy Smith,Ravens,2015,4,"$41,102,000","$10,275,500"
Brandon Flowers,Chargers,2015,4,"$36,400,000","$9,100,000"
Kareem Jackson,Texans,2015,4,"$34,000,000","$8,500,000"
Antonio Cromartie,Jets,2015,4,"$32,000,000","$8,000,000"
Chris Culliver,Commanders,2015,4,"$32,000,000","$8,000,000"
Johnathan Joseph,Texans,2015,3,"$22,000,000","$7,333,333"
Tramon Williams,Browns,2015,3,"$21,000,000","$7,000,000"
Buster Skrine,Jets,2015,4,"$25,000,000","$6,250,000"
Davon House,Jaguars,2015,4,"$24,500,000","$6,125,000"
Cary Williams,Seahawks,2015,3,"$18,000,000","$6,000,000"
Justin Bethel,Cardinals,2015,3,"$15,000,000","$5,000,000"
Perrish Cox,Titans,2015,3,"$15,000,000","$5,000,000"
Brandon Browner,Saints,2015,3,"$15,000,000","$5,000,000"
Orlando Scandrick,Cowboys,2015,5,"$19,000,000","$3,800,000"
Trae Waynes,Vikings,2015,4,"$12,944,364","$3,236,091"
Alan Ball,Bears,2015,1,"$3,000,000","$3,000,000"
Shareece Wright,49ers,2015,1,"$3,000,000","$3,000,000"
Brice McCain,Dolphins,2015,2,"$5,500,000","$2,750,000"
Kevin Johnson,Texans,2015,4,"$10,049,410","$2,512,353"
Marcus Peters,KC/BAL/LAR,2015,4,"$9,584,160","$2,396,040"
Terence Newman,Vikings,2015,1,"$2,250,000","$2,250,000"
Byron Jones,Cowboys,2015,4,"$8,601,938","$2,150,485"
Jimmy Wilson,Chargers,2015,2,"$4,250,000","$2,125,000"
Nickell Robey-Coleman,Bills,2015,2,"$4,100,000","$2,050,000"
Patrick Robinson,Chargers,2015,1,"$2,000,000","$2,000,000"
Damarious Randall,Packers,2015,4,"$7,915,728","$1,978,932"
Charles Tillman,Panthers,2015,1,"$1,750,000","$1,750,000"
Rashean Mathis,Lions,2015,2,"$3,500,000","$1,750,000"
Bradley Fletcher,Patriots,2015,1,"$1,500,000","$1,500,000"
Tarell Brown,Patriots,2015,1,"$1,500,000","$1,500,000"
Kyle Arrington,Ravens,2015,1,"$1,466,666","$1,466,666"
Jalen Collins,Falcons,2015,4,"$5,427,835","$1,356,959"
Eric Rowe,PHI/NE,2015,4,"$4,879,864","$1,219,966"
Ronald Darby,PHI/BUF,2015,4,"$4,569,690","$1,142,423"
Senquez Golson,Steelers,2015,4,"$4,001,044","$1,000,261"
Quinten Rollins,Packers,2015,4,"$3,742,566","$935,642"
Shareece Wright,Ravens,2015,1,"$900,000","$900,000"
Tracy Porter,Bears,2015,1,"$870,000","$870,000"
Chris Houston,Panthers,2015,1,"$870,000","$870,000"
Tim Jennings,Buccaneers,2015,1,"$870,000","$870,000"
Aaron Ross,Browns,2015,1,"$870,000","$870,000"
D'Joun Smith,Colts,2015,4,"$3,414,848","$853,712"
Chimdi Chekwa,Patriots,2015,1,"$825,000","$825,000"
Kyle Wilson,Saints,2015,1,"$825,000","$825,000"
Zack Bowman,Dolphins,2015,1,"$825,000","$825,000"
Cassius Vaughn,Ravens,2015,1,"$795,000","$795,000"
James Dockery,Raiders,2015,1,"$775,000","$775,000"
P.J. Williams,Saints,2015,4,"$3,060,912","$765,228"
Alex Carter,Lions,2015,1,"$3,058,748","$764,687"
Josh Thomas,Colts,2015,2,"$1,505,000","$752,500"
Jalil Brown,Colts,2015,2,"$1,505,000","$752,500"
Craig Mager,Chargers,2015,4,"$2,994,830","$748,708"
Derek Cox,Patriots,2015,1,"$745,000","$745,000"
Christopher Owens,Saints,2015,1,"$745,000","$745,000"
Justin Rogers,Commanders,2015,1,"$745,000","$745,000"
Cortland Finnegan,Panthers,2015,1,"$745,000","$745,000"
Cassius Vaughn,Ravens,2015,1,"$745,000","$745,000"
Ellis Lankster,Bills,2015,1,"$745,000","$745,000"
Phillip Adams,Falcons,2015,1,"$745,000","$745,000"
Brandon Harris,Titans,2015,1,"$745,000","$745,000"
Josh Gordy,Giants,2015,1,"$745,000","$745,000"
Josh Thomas,Vikings,2015,1,"$745,000","$745,000"
Bryan McCann,Commanders,2015,1,"$745,000","$745,000"
Cassius Vaughn,Chargers,2015,1,"$745,000","$745,000"
R.J. Stanford,Lions,2015,1,"$745,000","$745,000"
Josh Thomas,Cowboys,2015,1,"$745,000","$745,000"
Steven Nelson,Chiefs,2015,4,"$2,902,948","$725,737"
Doran Grant,Steelers,2015,4,"$2,769,012","$692,253"
DeMarcus Van Dyke,Vikings,2015,1,"$670,000","$670,000"
Asa Jackson,Ravens,2015,1,"$660,000","$660,000"
T.J. Heath,Panthers,2015,1,"$660,000","$660,000"
