player,team,fa_type,snap_pct,age,current_apy,guarantees
Marlon Humphrey,Ravens,Void,77.5,31,19500000.0,39957407.0
Tariq Woolen,Eagles,Void,72.4,28,12000000.0,12000000.0
Kenny Moore,Colts,Void,61.5,32,10000000.0,16000000.0
Kristian Fulton,Chiefs,UFA,20.0,29,10000000.0,15000000.0
Greg Newsome II,Giants,UFA,69.1,27,8000000.0,3000000.0
Donte Jackson,Chargers,UFA,58.9,32,6500000.0,6500000.0
Keisean Nixon,Packers,UFA,90.5,30,6000000.0,6500000.0
Ja'Quan McMillian,Broncos,UFA,66.0,27,5767000.0,0.0
Isaiah Rodgers,Vikings,UFA,90.0,29,5522500.0,7995000.0
Michael Jackson Sr.,Panthers,UFA,98.5,30,5250000.0,5700000.0
Chidobe Awuzie,Ravens,UFA,49.1,32,5000000.0,5000000.0
Asante Samuel Jr.,Steelers,UFA,19.1,28,4000000.0,2785000.0
Cobie Durant,Cowboys,UFA,73.0,29,4000000.0,1500000.0
Mike Ford,Falcons,UFA,0.0,32,4000000.0,1140000.0
Emmanuel Forbes,Rams,UFA,72.5,26,3851892.0,15407568.0
Christian Gonzalez,Patriots,UFA,65.7,25,3775717.0,15102868.0
Nahshon Wright,Jets,UFA,97.0,29,3500000.0,3500000.0
Nate Hobbs,49ers,UFA,32.0,28,3500000.0,3110000.0
Deonte Banks,Giants,UFA,41.3,26,3394851.0,13579404.0
Tremon Smith,Texans,UFA,16.8,31,3250000.0,4500000.0
Rock Ya-Sin,Lions,UFA,55.3,31,3200000.0,2640000.0
Brandin Echols,Steelers,UFA,44.8,30,3000000.0,1830000.0
Sean Murphy-Bunting,Cardinals,UFA,0.0,30,3000000.0,1750000.0
Daxton Hill,Bengals,UFA,92.9,27,2916755.0,11667018.0
Michael Carter II,Eagles,Void,22.2,28,2765000.0,1450000.0
Josh Blackwell,Bears,UFA,0.3,28,2500000.0,2450000.0
Joey Porter Jr.,Steelers,UFA,76.8,27,2404587.0,8999870.0
Julius Brents,Dolphins,UFA,10.3,27,2049234.0,5975996.0
Deane Leonard,Chargers,UFA,3.5,28,2000000.0,1215000.0
Jonathan Jones,Eagles,Void,42.5,34,2000000.0,2000000.0
Kader Kohou,Chiefs,UFA,0.0,29,1810000.0,1810000.0
Tyrique Stevenson,Bears,UFA,54.8,27,1612376.0,3483707.0
D.J. Turner,Bengals,UFA,89.4,27,1540010.0,3260030.0
Garrett Williams,Cardinals,UFA,48.3,26,1408733.0,1098132.0
Roger McCreary,Lions,UFA,32.2,27,1402500.0,987500.0
Kindle Vildor,Patriots,UFA,15.8,30,1402500.0,437500.0
Cam Taylor-Britt,Colts,UFA,32.0,28,1402500.0,687500.0
Riley Moss,Broncos,UFA,96.9,27,1361873.0,961812.0
Mekhi Blackmon,Colts,UFA,67.3,28,1326021.0,857512.0
Carrington Valentine,Packers,UFA,69.6,26,985165.0,100660.0
Kaiir Elam,Chiefs,UFA,49.0,26,0.0,0.0
Jack Jones,49ers,UFA,91.5,30,0.0,0.0
