player,team,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,old_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Cam Taylor-Britt,Bengals,Elite lockdown CB,False,2025,57.6,57.0,133.5,0.9,0.1428571428571428,0.8448275862068966,0.0517241379310344,1488183.0,0.9784136849947622,1413065.9581534325,2946982.0192042235,18510006.015251573,44,True,7.325062801742748,17002437.045036137,22063089.158849154,26294706.405693952,16,True,6.346649116747986
Tariq Woolen,Seahawks,Elite lockdown CB,True,2025,59.8,62.4,93.9,0.8,0.1341463414634146,0.9251559251559252,0.0228690228690228,998054.0,0.9784136849947622,1403394.9766855163,2946982.0192042235,15576690.211907165,56,True,6.876790830945559,13931522.971876571,20712893.982808024,25477668.551650174,22,True,5.898377145950797
Kevin King,Falcons,Replacement-level CB,False,2021,71.0,68.4,116.7,1.4,0.1153846153846153,0.6977491961414791,0.1414790996784566,1337500.0,0.6150598433849854,1388857.1472941549,1852560.2482755762,15008572.437885152,30,True,6.1906879448398575,7469261.779863323,18646352.08985765,22003614.406204123,12,True,5.575628101454872
Jamel Dean,Buccaneers,Elite lockdown CB,False,2025,80.6,75.9,47.7,0.7,0.074074074074074,0.886535552193646,0.0393343419062027,5000000.0,1.9596915068493153,2657845.879404855,5902590.8186301375,19405756.774266366,57,True,6.005338078291815,9379003.558718862,18088078.291814946,23353024.275646046,33,True,4.0456465714425
Tre Brown,Jets,Elite lockdown CB,True,2023,62.8,64.1,94.1,1.1,0.1489361702127659,0.9187396351575456,0.0182421227197346,315000.0,0.9784136849947622,1403394.9766855163,2946982.0192042235,14649336.826830523,72,True,5.844845908607864,9902465.753424656,17604675.876726884,23930958.904109593,29,True,4.866432223613102
Duke Shelley,Colts,Playmaking outside CB,False,2022,82.9,86.4,59.6,1.0,0.2666666666666666,0.9553191489361702,0.0042553191489361,1170000.0,2.4943380361173815,4037126.213770471,7512946.164785553,20180533.238789756,34,True,5.47945205479452,11965479.452054797,16504109.589041095,22996867.658574786,21,True,2.9851140186771388
James Bradberry,Eagles,Playmaking outside CB,False,2023,54.4,52.0,114.2,1.2,0.099009900990099,0.8119266055045872,0.1165137614678899,12666667.0,0.8651171950048031,1346650.7088976097,2605732.991354467,5884420.415250145,63,True,5.36117381489842,5599647.679056715,16147855.53047404,19902392.668753654,23,True,4.496056619893617
Dane Jackson,Bills,Elite lockdown CB,False,2023,63.7,70.9,114.7,0.8,0.1428571428571428,0.9325259515570934,0.0069204152249134,362500.0,1.079472297366252,1436333.1764107826,3251370.559667151,14649336.826830523,76,True,5.20245129415302,9499841.196838677,15669783.297988897,22729338.23923794,34,True,4.1229789967867685
Marshon Lattimore,WAS/NO,Elite lockdown CB,True,2025,53.2,52.6,87.7,0.9,0.1818181818181818,0.8714011516314779,0.0460652591170825,19400000.0,0.6298101032303647,1374235.7560748013,1896988.0309298586,18510006.015251573,24,True,5.1072234762979685,8537417.448680779,15382957.110609481,22343249.53051985,75,False,4.477413373067604
Cor'Dale Flott,Giants,Elite lockdown CB,False,2025,65.6,68.1,72.8,1.0,0.1363636363636363,0.8333333333333334,0.0588972431077694,1310461.0,1.366223495702006,1476182.8078291814,4115065.1690544426,14466858.78962536,85,True,5.1072234762979685,8537417.448680779,15382957.110609481,23105753.424657535,39,True,3.740999980595962
Joshua Williams,Chiefs,Elite lockdown CB,True,2024,64.3,68.3,87.4,0.7,0.1212121212121212,0.9099756690997568,0.0121654501216545,1081565.0,1.079472297366252,1421258.272748198,3251370.559667151,14288413.517042432,78,True,5.1072234762979685,8667887.946506405,15382957.110609481,22579741.474560454,35,True,4.027751178931716
Tre'Davious White,Bills,Elite lockdown CB,False,2025,64.2,68.2,75.0,0.5,0.1914893617021276,0.875453446191052,0.0120918984280532,3000000.0,1.079472297366252,1421258.272748198,3251370.559667151,14288413.517042432,78,True,5.1072234762979685,8667887.946506405,15382957.110609481,22579741.474560454,35,True,4.027751178931716
Antonio Hamilton Sr.,Commanders,Elite lockdown CB,False,2023,64.7,69.1,80.6,0.9,0.1590909090909091,0.7066189624329159,0.1305903398926654,396000.0,1.0844460273972605,1413720.8209169055,3266351.4345205487,14466858.78962536,81,True,5.1072234762979685,9118062.563067608,15382957.110609481,22280547.94520548,37,True,4.022777448900708
Derek Stingley Jr.,Texans,Elite lockdown CB,True,2025,65.6,73.5,74.7,0.9,0.1911764705882352,0.9006815968841285,0.0097370983446932,8664379.0,1.366223495702006,1476182.8078291814,4115065.1690544426,14466858.78962536,85,True,5.1072234762979685,8537417.448680779,15382957.110609481,23105753.424657535,39,True,3.740999980595962
Dallis Flowers,Bears,Elite lockdown CB,True,2023,66.4,70.6,98.1,0.7,0.1666666666666666,0.9046052631578948,0.0032894736842105,341111.0,1.369306433408578,1545369.037366548,4124350.9774266374,14466858.78962536,81,True,5.076316077200447,8247094.891487364,15289864.024527745,22211872.170381263,38,True,3.707009643791869
Montaric Brown,Jaguars,Elite lockdown CB,False,2025,72.0,74.0,73.3,0.8,0.1617647058823529,0.8817610062893082,0.0113207547169811,943995.0,1.5909417259786476,1812611.6975342464,4791916.478647687,15382957.110609481,93,True,5.076316077200447,7569050.467868973,15289864.024527745,23548653.773016956,48,True,3.4853743512217994
Keion Crossen,Panthers,Playmaking outside CB,True,2022,49.3,48.5,98.1,1.0,0.081081081081081,0.8528735632183908,0.0942528735632183,315000.0,0.8651171950048031,1279243.3341097345,2605732.991354467,5648608.352631785,39,True,4.981956770462908,5506221.984535071,15005653.792634279,20188005.814283922,14,True,4.116839575458105
Sauce Gardner,Jets,Elite lockdown CB,True,2025,76.9,75.6,87.9,0.7,0.2285714285714285,0.8861386138613861,0.0379537953795379,8362700.0,2.161383285302594,2063821.456538763,6510086.455331412,15956609.485368315,77,True,4.955148721818533,7569050.467868973,14924907.950117424,22013213.099618137,44,True,2.7937654365159394
Jaire Alexander,BAL/PHI,Elite lockdown CB,True,2024,77.3,80.7,79.9,1.0,0.2,0.9168975069252078,0.038781163434903,4000000.0,2.176582053610201,2596562.934213037,6555865.145473924,17192659.278887242,74,True,4.803073967339097,7502439.33919616,14466858.78962536,22020581.353327665,43,True,2.6264919137288962
Eric Stokes,Raiders,Elite lockdown CB,False,2025,73.6,73.5,77.2,0.5,0.08,0.8640308582449373,0.0038572806171648,3500000.0,1.681802724520686,1651374.5551601422,5065589.806256305,15196770.938446017,89,True,4.803073967339097,7502439.33919616,14466858.78962536,22020581.353327665,47,True,3.1212712428184113
Levi Wallace,Jaguars,Replacement-level CB,False,2024,66.9,64.3,128.8,1.3,0.037037037037037,0.7727272727272727,0.0876623376623376,1170000.0,0.9115809608540923,1399039.6273285234,2745681.8540925262,10276180.32882514,59,True,4.782146652497343,7818961.6252821665,14403825.717321998,20822234.762979683,25,True,3.870565691643251
Corey Ballentine,Patriots,Playmaking outside CB,True,2023,60.8,62.3,80.2,1.3,0.0925925925925925,0.904494382022472,0.0355805243445692,396000.0,0.9281181134997122,1495310.8054267145,2795491.757861133,8887620.39160846,116,True,4.602739726027397,6047368.305141019,13863452.054794518,20953731.77725605,47,True,3.6746216125276847
James Pierre,Steelers,Elite lockdown CB,False,2025,86.2,88.9,57.2,0.7,0.2857142857142857,0.9411764705882352,0.0122549019607843,396000.0,1.9596915068493153,2166809.7544483985,5902590.8186301375,13603613.177470775,33,True,4.448398576512456,9798567.861583393,13398576.512455517,20153419.027078994,19,True,2.4887070696631404
DaRon Bland,Cowboys,Replacement-level CB,True,2025,65.2,64.5,108.8,1.5,0.0779220779220779,0.5935397039030955,0.2691790040376851,991197.0,1.0025698398576512,1425811.8037850854,3019740.3576512453,10068362.040528568,67,True,4.404073326248671,7482416.061368503,13265068.858660998,20928470.65462754,28,True,3.40150348639102
Chidobe Awuzie,Ravens,Playmaking outside CB,False,2025,76.4,77.2,86.0,0.8,0.1320754716981132,0.8494623655913979,0.0770609318996415,1255000.0,1.5839187035069076,1832110.585914542,4770763.1349628065,13660952.700368725,80,True,4.37768401809178,8854867.804740408,13185584.26249244,20299296.771361336,42,True,2.7937653145848724
