player,team,fa_type,age,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,current_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Cam Taylor-Britt,Colts,UFA,28,Elite lockdown CB,False,2025,57.6,57.0,133.5,0.9,0.1428571428571428,0.8448275862068966,0.0517241379310344,1402500.0,0.9784136849947622,1534105.4724972525,3199412.749932872,20095524.458789058,44,True,7.325062801742748,18458821.094710547,23952955.361698784,28547041.814946618,16,True,6.346649116747986
Tariq Woolen,Eagles,Void,28,Elite lockdown CB,True,2025,59.8,62.4,93.9,0.8,0.1341463414634146,0.9251559251559252,0.0228690228690228,12000000.0,0.9784136849947622,1523606.100186467,3199412.749932872,16910948.536831483,56,True,6.876790830945559,15124860.596957631,22487106.017191976,27660018.646711845,22,True,5.898377145950797
Emmanuel Forbes,Rams,UFA,26,Playmaking outside CB,True,2025,53.9,56.3,100.4,1.3,0.1951219512195122,0.8754171301446051,0.0022246941045606,3851892.0,0.8159404641775984,1410614.494909945,2668125.3178607468,6441618.911174784,61,True,5.497906080047075,6361887.13697634,17978152.881753936,21940067.95062988,22,True,4.681965615869477
Mike Jackson,Panthers,UFA,30,Playmaking outside CB,True,2025,83.5,85.8,65.1,1.0,0.1649484536082474,0.9042076991942704,0.0071620411817367,5250000.0,2.8216704288939054,3655384.0948339985,9226862.30248307,21895421.358723782,31,True,5.1381458919570795,12049523.794798853,16801737.06669965,25183842.766005967,20,True,2.316475463063174
Donte Jackson,Chargers,UFA,32,Elite lockdown CB,True,2025,70.8,73.4,58.5,0.8,0.2391304347826087,0.9443561208267092,0.0158982511923688,6500000.0,1.5522821647047627,1926822.6887771322,5075962.678584574,16844629.84075045,92,True,5.1072234762979685,8145078.565461967,16700620.767494358,26091875.63469662,47,True,3.554941311593206
Joey Porter Jr.,Steelers,UFA,27,Elite lockdown CB,False,2025,70.1,76.6,55.9,0.6,0.208955223880597,0.8555093555093555,0.0436590436590436,2404587.0,1.6363722252496666,1968842.292507053,5350937.17656641,17132647.98726264,90,True,5.1072234762979685,8145078.565461967,16700620.767494358,26091875.63469662,47,True,3.470851251048302
DJ Turner II,Bengals,UFA,27,Elite lockdown CB,True,2025,73.3,78.1,77.3,0.8,0.2419354838709677,0.9240246406570842,0.0410677618069815,1540010.0,1.7363168350397125,1795536.4697623611,5677756.05057986,16650087.16996991,90,True,4.924241322721012,8217395.428264124,16102269.125297708,24280449.66760358,48,True,3.1879244876812995
Chidobe Awuzie,Ravens,UFA,32,Playmaking outside CB,False,2025,76.4,77.2,86.0,0.8,0.1320754716981132,0.8494623655913979,0.0770609318996415,5000000.0,1.5839187035069076,1989044.3612020425,5179414.160467588,14831113.987452101,80,True,4.37768401809178,9613352.497178331,14315026.73916012,22038081.15615922,42,True,2.7937653145848724
Christian Gonzalez,Patriots,UFA,25,Playmaking outside CB,True,2025,75.0,76.9,57.0,0.8,0.1320754716981132,0.8756169792694966,0.0434353405725567,3775717.0,1.573788522848034,1928865.0667259786,5146288.46971307,14546263.345195731,85,True,4.37768401809178,9021905.630971892,14315026.73916012,22208168.58429761,44,True,2.8038954952437463
Jonathan Jones,Eagles,Void,34,Playmaking outside CB,False,2025,50.9,48.0,83.5,1.3,0.1219512195121951,0.8533057851239669,0.0268595041322314,2000000.0,0.8405288295912008,1393428.4703317657,2748529.272763226,5977870.481218354,52,True,4.293930968220925,5977870.481218354,14041154.266082425,21917257.30833613,18,True,3.4534021386297242
Isaiah Rodgers,Vikings,UFA,29,Average outside CB,False,2025,73.8,74.1,91.5,1.0,0.0615384615384615,0.8016614745586709,0.047767393561786,5522500.0,1.562439667827367,1675449.6710458,5109177.713795491,14031395.38077656,72,True,4.288597376387488,9078506.907545164,14023713.420787083,20203259.312320918,37,True,2.7261577085601205
Asante Samuel Jr.,Steelers,UFA,28,Playmaking outside CB,True,2023,73.9,75.6,98.0,1.1,0.1529411764705882,0.918091809180918,0.0216021602160216,4000000.0,1.6714841986455982,2009104.1260273976,5465753.329571106,14301636.568848759,93,True,4.225978647686833,8816948.959460713,13818950.177935941,21461043.037788603,51,True,2.5544944490412345
Kindle Vildor,Patriots,UFA,30,Playmaking outside CB,False,2024,46.7,45.0,97.0,1.4,0.1071428571428571,0.8765822784810127,0.0569620253164556,1402500.0,1.3796174785100286,1345595.7427951072,4511349.154727793,5713175.606079072,19,True,4.225978647686833,6458803.611738148,13818950.177935941,22144469.52595937,97,False,2.846361169176804
JuJu Brents,Dolphins,UFA,27,Replacement-level CB,True,2023,63.2,64.5,109.1,1.6,0.125,0.8853118712273642,0.0060362173038229,2049234.0,0.8405379442843419,1485420.273775216,2748559.077809798,10149548.532731377,77,True,4.026,8546794.520547945,13165020.0,22605812.64108352,29,True,3.185462055715658
Rock Ya-Sin,Lions,UFA,31,Playmaking outside CB,False,2025,62.8,64.8,77.7,0.8,0.1,0.795417348608838,0.0540098199672667,3200000.0,0.9589041095890412,1672843.9235348173,3135616.4383561644,10748657.232711947,131,True,3.9791907722102535,6458803.611738148,13011953.825127527,22304533.896942105,56,True,3.0202866626212126
Kristian Fulton,Chiefs,UFA,29,Average outside CB,False,2024,68.9,66.6,111.4,1.1,0.0909090909090909,0.871825876662636,0.0217654171704957,10000000.0,1.2529086676217769,1677841.6092404071,4097011.3431232106,11004250.217853347,113,True,3.9727964235134046,8325237.384280366,12991044.304888833,17761709.93227991,52,True,2.7198877558916275
Keisean Nixon,Packers,UFA,30,Playmaking outside CB,False,2025,66.7,68.7,105.4,1.0,0.1590909090909091,0.9110907424381302,0.0064161319890009,6000000.0,1.2548770555990605,1854762.1391575558,4103447.971808928,12415695.677470775,127,True,3.961798967228761,6427930.17853116,12955082.622838048,20548751.069884725,60,True,2.7069219116297005
Riley Moss,Broncos,UFA,27,Playmaking outside CB,False,2025,64.2,61.2,93.1,1.2,0.128,0.8520325203252033,0.0414634146341463,1361873.0,0.9829968119022316,1693062.7125704768,3214399.574920297,10922528.922121897,135,True,3.950338600451467,6335309.878910191,12917607.223476296,21284537.725823592,61,True,2.9673417885492355
Carrington Valentine,Packers,UFA,26,Average outside CB,True,2025,62.3,61.6,103.9,0.9,0.081967213114754,0.8996499416569428,0.0081680280046674,985165.0,0.9530286807976882,1511785.7909614164,3116403.7862084405,9122454.972592013,132,True,3.950338600451467,7872540.52198539,12917607.223476296,18011953.270671546,51,True,2.997309919653779
Garrett Williams,Cardinals,UFA,26,Average outside CB,True,2025,62.5,64.2,132.9,1.2,0.1111111111111111,0.3110307414104882,0.4683544303797468,1408733.0,0.9554742684157416,1514388.2028469748,3124400.857719475,8962411.902897416,133,True,3.921343677449933,7667365.930491247,12822793.825261282,17648302.398843996,52,True,2.965869409034191
Tyrique Stevenson,Bears,UFA,27,Playmaking outside CB,True,2025,66.2,62.3,91.6,1.7,0.1538461538461538,0.8817891373801917,0.0511182108626198,1612376.0,0.9829968119022316,1827304.4187358918,3214399.574920297,11072234.762979684,129,True,3.9122944330631406,6366183.31211718,12793202.79611647,20810518.339337174,58,True,2.929297621160909
Jack Jones,49ers,UFA,30,Average outside CB,False,2025,60.2,54.7,112.7,0.7,0.037037037037037,0.8969387755102041,0.0173469387755102,0.0,0.8963496476115896,1450559.4899043567,2931063.347689898,8962411.902897416,125,True,3.8923487544483986,8156128.443664211,12727980.427046264,16782147.41493915,47,True,2.995999106836809
Nate Hobbs,49ers,UFA,28,Average outside CB,False,2025,61.7,58.1,125.3,1.1,0.08,0.6480446927374302,0.2402234636871508,3500000.0,0.9554742684157416,1509183.3790758578,3124400.857719475,8962411.902897416,131,True,3.8923487544483986,7872540.52198539,12727980.427046264,17171285.08067904,51,True,2.936874486032657
Nahshon Wright,Jets,UFA,29,Average outside CB,True,2025,65.9,64.8,98.0,1.2,0.1290322580645161,0.8954081632653061,0.0306122448979591,3500000.0,1.094452054794521,1567388.0991558179,3578858.2191780834,10485560.313855557,119,True,3.8923487544483986,8301320.547945206,12727980.427046264,18596489.809646398,51,True,2.7978966996538777
Kaiir Elam,Chiefs,UFA,26,Replacement-level CB,False,2025,56.8,56.3,114.1,1.3,0.02,0.8861940298507462,0.0205223880597014,0.0,0.6850578291814947,1422424.7823879311,2240139.1014234875,6554258.561732474,115,True,3.719655442443226,8085250.907780978,12163273.296789348,18664053.18446368,35,True,3.0345976132617314
Cobie Durant,Cowboys,UFA,29,Playmaking outside CB,False,2025,65.5,65.1,79.2,1.1,0.1304347826086956,0.9096446700507614,0.0365482233502538,4000000.0,0.9960392737614084,1823476.842053937,3257048.4251998058,10512015.547149185,128,True,3.67823944599783,6295643.031687202,12027842.988412905,20810518.339337174,58,True,2.6822001722364215
Sean Murphy-Bunting,Cardinals,UFA,30,Average outside CB,True,2024,56.5,53.1,81.4,1.0,0.1153846153846153,0.8,0.0,3000000.0,0.9414984338292874,1503978.5553047406,3078699.87862177,8539627.397260275,105,True,3.610230759369853,7407010.3389736,11805454.58313942,17648302.398843996,40,True,2.6687323255405655
Roger McCreary,Lions,UFA,27,Slot specialist,True,2025,72.1,72.0,108.1,1.1,0.088235294117647,0.1298076923076923,0.6971153846153846,1402500.0,0.9798087141339,1468275.3383727663,3203974.495217853,9075694.565518374,79,True,3.574115688487585,8687566.418703506,11687358.301354403,13734989.909182644,29,True,2.5943069743536853
Deonte Banks,Giants,UFA,26,Replacement-level CB,True,2025,42.4,45.0,149.7,1.3,0.03125,0.8496732026143791,0.0522875816993464,3394851.0,0.6868765708131208,1614478.6425851895,2246086.386558905,5714513.082744703,54,True,3.4537725823591923,5859057.562076749,11293836.344314558,17021917.80821918,17,True,2.7668960115460717
