feature,label,rf_importance,gbm_importance,mean_abs_shap,correlation_with_grade,rf_rank,gbm_rank,shap_rank,corr_rank
qb_rating_against,QB rating allowed,0.18576018492345392,0.20244708241504616,2.3732373652512546,-0.5363508428971482,1,1,1,1
run_stop_rate,Run stop rate,0.0528695152434697,0.07807327692625682,2.091152148359915,0.12238995760595006,8,5,2,13
yards_per_coverage_snap,Yds per cov snap,0.1468037524938188,0.12585111899093923,1.8584329011948812,-0.5324315406424345,2,2,3,2
missed_tackle_rate,Missed tackle %,0.05680646622001871,0.08598351806930715,1.8316092213215318,-0.2565533127656,6,4,4,11
playmaking_rate,Playmaking rate,0.09905929178944174,0.09719641495536561,1.5354462147263352,0.4475758660818311,3,3,5,3
forced_incompletion_rate,Forced incompletion %,0.045939952563759476,0.03870724646827808,1.1934986360061846,0.36062104700095654,9,7,6,5
yards_per_reception,Yds per reception,0.06747180597004261,0.04265530451697984,0.829144924329116,-0.29951110860155566,4,6,7,9
int_rate,INT rate,0.055457736325389466,0.03095510509445434,0.7695630408169309,0.32569313974934466,7,9,8,7
avg_depth_of_target,Avg depth of target,0.021743653636855074,0.02961199281566498,0.6443964064963847,-0.05672656202053107,14,11,9,18
outside_rate,Outside align %,0.012473435170530567,0.02206564909201005,0.6046614686433093,0.02181965492631978,19,15,10,20
slot_rate,Slot align %,0.014543630234879411,0.025960802064648836,0.5760936038951163,-0.010799089265670232,16,12,11,21
tackles_per_snap,Tackles per snap,0.012808994006311372,0.020198659243651662,0.5584654082980678,-0.10226413496225699,18,16,12,15
coverage_snaps_per_target,Cov snaps per target,0.024897193925168704,0.015443686169582568,0.5135837781423611,0.24525815737096043,13,20,13,12
catch_rate,Catch rate allowed,0.02555523688621856,0.0188695691439315,0.5051944004271958,-0.30839822175758697,12,19,14,8
zone_rate,Zone coverage %,0.011211764685203952,0.023921251065802597,0.4527073144632888,0.09620658480082611,20,13,15,16
man_rate,Man coverage %,0.015629751568929477,0.034261124256932125,0.44258805884670777,-0.11148747025972351,15,8,16,14
target_rate,Target rate,0.031158558609961338,0.030580599119738754,0.4347887744352865,-0.25959598723969607,11,10,17,10
pbu_rate,PBU rate,0.036818181084628795,0.019929692505777613,0.38960637274478704,0.3474141899577514,10,17,18,6
coverage_snaps_per_reception,Cov snaps per rec,0.0601095744430654,0.01914013168566634,0.3752417555888988,0.36552175623756217,5,18,19,4
pressure_rate,Pressure rate,0.009578745020674328,0.014603951756063997,0.3563589747031056,0.03958496123808452,21,21,20,19
box_rate,Box align %,0.013302575198178552,0.023543823643901625,0.30921860351233227,-0.08192347200453592,17,14,21,17
