category,player,season,archetype,grade,cap_units,apy,cap_label
Best value,Jaylon Johnson,2023,Elite lockdown CB,90.1,0.7193923487544484,1617194.0,0.72% ($1.6M)
Best value,DaRon Bland,2023,Playmaking outside CB,89.5,0.4409239323843416,991197.0,0.44% ($1.0M)
Best value,Desmond King II,2018,Slot specialist,88.5,0.3781038374717833,670000.0,0.38% ($0.7M)
Best value,Cooper DeJean,2024,Slot specialist,86.3,0.9087337509788568,2320906.0,0.91% ($2.3M)
Best value,James Pierre,2025,Elite lockdown CB,86.2,0.4638252148997134,1295000.0,0.46% ($1.3M)
Best value,Levi Wallace,2018,Elite lockdown CB,83.5,0.3244920993227991,575000.0,0.32% ($0.6M)
Best value,Christian Benford,2023,Elite lockdown CB,83.0,0.4286343416370106,963570.0,0.43% ($1.0M)
Best value,Duke Shelley,2022,Playmaking outside CB,82.9,0.4634966378482229,965000.0,0.46% ($1.0M)
Best value,Jason McCourty,2018,Playmaking outside CB,82.3,1.340293453724605,2375000.0,1.34% ($2.4M)
Best value,Isaiah Rodgers,2022,Average outside CB,82.1,0.4130792507204611,860031.0,0.41% ($0.9M)
Worst value,Josh Norman,2019,Replacement-level CB,45.7,7.970244420828905,15000000.0,7.97% ($15.0M)
Worst value,L'Jarius Sneed,2024,Average outside CB,36.3,7.753328112764292,19802000.0,7.75% ($19.8M)
Worst value,Trumaine Johnson,2019,Replacement-level CB,53.0,7.704569606801276,14500000.0,7.70% ($14.5M)
Worst value,Xavier Rhodes,2019,Replacement-level CB,47.9,7.449521785334751,14020000.0,7.45% ($14.0M)
Worst value,J.C. Jackson,2023,Replacement-level CB,34.8,7.339857651245552,16500000.0,7.34% ($16.5M)
Worst value,Marshon Lattimore,2025,Elite lockdown CB,53.2,6.948424068767908,19400000.0,6.95% ($19.4M)
Worst value,L'Jarius Sneed,2025,Average outside CB,50.4,6.840974212034384,19100000.0,6.84% ($19.1M)
Worst value,Adoree' Jackson,2023,Replacement-level CB,49.4,5.782918149466192,13000000.0,5.78% ($13.0M)
Worst value,James Bradberry,2023,Playmaking outside CB,54.4,5.63463834519573,12666667.0,5.63% ($12.7M)
Worst value,Kyle Fuller,2021,Replacement-level CB,47.2,5.205479452054795,9500000.0,5.21% ($9.5M)
Rookie steal,Pierre Desir,2018,Elite lockdown CB,77.7,0.9875846501128668,1750000.0,0.99% ($1.8M)
Rookie steal,Xavien Howard,2018,Elite lockdown CB,77.3,0.8645654627539504,1532010.0,0.86% ($1.5M)
Rookie steal,Mackensie Alexander,2018,Slot specialist,78.1,0.6089599322799096,1079077.0,0.61% ($1.1M)
Rookie steal,Desmond King II,2018,Slot specialist,88.5,0.3781038374717833,670000.0,0.38% ($0.7M)
Rookie steal,Levi Wallace,2018,Elite lockdown CB,83.5,0.3244920993227991,575000.0,0.32% ($0.6M)
Rookie steal,Shaquill Griffin,2019,Elite lockdown CB,78.0,0.4328666312433581,814655.0,0.43% ($0.8M)
Rookie steal,Jamel Dean,2019,Playmaking outside CB,76.4,0.4727486716259299,889713.0,0.47% ($0.9M)
Rookie steal,Jason Verrett,2020,Average outside CB,77.6,0.5285065590312815,1047500.0,0.53% ($1.0M)
Rookie steal,Ahkello Witherspoon,2020,Elite lockdown CB,80.2,0.4899929364278506,971166.0,0.49% ($1.0M)
Rookie steal,D.J. Reed,2020,Average outside CB,75.2,0.3495676084762865,692843.0,0.35% ($0.7M)
Extension bust,Xavier Rhodes,2018,Replacement-level CB,58.2,7.91196388261851,14020000.0,7.91% ($14.0M)
Extension bust,Robert Alford,2018,Playmaking outside CB,56.9,5.36117381489842,9500000.0,5.36% ($9.5M)
Extension bust,Aqib Talib,2019,Average outside CB,55.4,5.047821466524974,9500000.0,5.05% ($9.5M)
Extension bust,Trumaine Johnson,2019,Replacement-level CB,53.0,7.704569606801276,14500000.0,7.70% ($14.5M)
Extension bust,Josh Norman,2019,Replacement-level CB,45.7,7.970244420828905,15000000.0,7.97% ($15.0M)
Extension bust,Xavier Rhodes,2019,Replacement-level CB,47.9,7.449521785334751,14020000.0,7.45% ($14.0M)
Extension bust,Darius Slay,2019,Playmaking outside CB,56.4,6.376195536663125,12000000.0,6.38% ($12.0M)
Extension bust,A.J. Bouye,2019,Replacement-level CB,58.4,7.173219978746015,13500000.0,7.17% ($13.5M)
Extension bust,Xavien Howard,2019,Playmaking outside CB,56.5,7.996811902231668,15050000.0,8.00% ($15.1M)
Extension bust,Casey Hayward Jr.,2020,Playmaking outside CB,59.5,5.76017507568113,11416667.0,5.76% ($11.4M)
